"Geo_FIPS","cluster","PC1","PC2","PC3"
6085504001,6,3.71490886605746,2.36167122405038,0.272803373402024
6085504002,6,4.32159375606133,2.07431122860012,1.34988063174291
6085504101,6,3.57513246623299,2.75134949267248,0.169571020081008
6085504102,6,3.42417515102709,2.78023975726506,0.0947406026922053
6085504201,1,-1.39329263591923,1.52887402988824,0.448240550894578
6085504202,8,-2.08877594855964,1.97569604051968,-0.244301528804784
6085504307,9,-0.196479592702368,1.67292735021251,2.77003306707623
6085504308,14,-2.30714941606772,1.9185477287947,1.5959608201946
6085504311,14,-1.18758855129228,1.25044436172181,3.92359346696019
6085504314,9,0.432703610215319,2.1551703773476,2.6111959914903
6085504316,9,0.313162312309905,2.09315603898952,3.08335448491593
6085504317,14,-0.443727159190318,2.41182592649431,3.43199309507281
6085504318,9,2.41334894247244,2.10889317446048,2.14163287848004
6085504319,9,0.461882748584912,1.99773812729161,3.00550953488795
6085504320,14,-0.996124618377668,1.91526847718388,2.89790483633093
6085504321,9,0.546167135290481,1.65252134104104,3.02838433235115
6085504322,9,-0.718080639714297,0.242029277918833,3.2150410999351
6085504323,9,1.0956310113457,1.97811982886731,3.56255553268093
6085504410,9,1.57722409354481,2.06334605946968,2.61881362903126
6085504411,9,0.25411521159322,1.75454418677077,2.54082213845319
6085504412,9,1.58478799755223,1.8606400750846,2.76299123552481
6085504413,14,-2.06529180257921,1.53212498492682,4.26704165623718
6085504414,14,-1.22195993463949,2.15732424070441,3.6927926132507
6085504415,14,-1.19812637252167,1.59330121564428,3.29269815720475
6085504416,14,-0.255206654686429,2.11990780648392,3.04766242723217
6085504418,9,2.70640320076075,1.95220514326327,2.54709493642075
6085504420,14,-1.05497011756726,2.08591712436057,2.29776614309196
6085504421,14,-0.57289519057368,2.14578164301487,3.00647417990382
6085504422,9,1.91412392023292,1.69017386764768,1.97760346000141
6085504423,9,0.855043064073254,2.11828165397388,1.73022545528093
6085504504,13,0.132387827497072,1.25083686290472,2.6938203241957
6085504505,9,0.477831766745517,1.60367587960615,2.69715490617964
6085504506,9,0.955573354396101,1.08043295612118,3.30047416532284
6085504507,9,0.737956562763631,1.75846225864453,2.2099578794964
6085504602,13,1.26697969598167,2.00985259158878,-0.690719490501989
6085504802,13,0.936585814603656,1.01582066794549,1.55751940167135
6085504803,9,-0.892568610307415,-0.470222231541543,2.65045433056491
6085504805,15,0.338469154500032,0.00180337278807849,-0.254969251201044
